no,no_pendaftaran_kipk,no_bantuan_sosial,nama,prodi,nik,no_kartu_keluarga,nisn,asal_sekolah,status_dtsen,jumlah_tanggungan,jumlah_orang_rumah,pekerjaan_ayah,pekerjaan_ibu,penghasilan_ayah,penghasilan_ibu,kab_kota,provinsi,alamat,pbb,daya_listrik,no_hp,email,koordinat,latitude,longitude,skor_total,ranking,created_at,status_seleksi,catatan_admin,updated_at,jalur_masuk,hasil_seleksi
,1041224809562753,BAN-00057,Galih Setiawan,Teknik Industri,0000003301000007,0000003371000007,0020050208,SMA Negeri 3 Rembang,Tersertifikasi,1,7,Karyawan Pabrik,Penjual Makanan,1100000,950000,Purwokerto,Jawa Tengah,Jl. Kartini No. 008,5600000,2200 VA,62-0000000014,snbp00057@email.com,"-7.1315,-110.3897",-7.121,-110.3897,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBP,
,4650338125656428,BAN-00058,Qori Satria,Arsitektur,0000003301000008,0000003371000008,0020050209,SMA Negeri 1 Tangerang,Tersertifikasi,2,4,Petani Padi,Asisten Rumah Tangga,1200000,1050000,Klaten,Jawa Tengah,Jl. Imam Bonjol No. 009,6400000,450 VA,62-0000000015,snbp00058@email.com,"-7.1315,-110.3882",-7.1195,-110.3882,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,5136667113768301,BAN-00059,Dewi Dewi,Akuntansi,0000003301000009,0000003371000009,0020050210,SMA Negeri 2 Cirebon,Tersertifikasi,3,5,Pedagang Pasar,Buruh,1300000,1150000,Rembang,Jawa Tengah,Jl. Pendidikan No. 010,7200000,900 VA,62-0000000016,snbp00059@email.com,"-7.1315,-110.3867",-7.118,-110.3867,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,4381539017889868,BAN-00060,Yoga Santoso,Teknik Informatika,0000003301000010,0000003371000010,0020050211,SMA Negeri 3 Pekalongan,Tersertifikasi,4,6,Sopir,Pembuat Kerajinan,1400000,1250000,Tangerang,Jawa Tengah,Jl. Tani No. 011,8000000,1300 VA,62-0000000017,snbp00060@email.com,"-7.1315,-110.3852",-7.1165,-110.3852,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBP,
,8831602899771638,BAN-00061,Laras Hariyanto,Teknik Sipil,0000003301000011,0000003371000011,0020050212,SMA Negeri 4 Kudus,Tersertifikasi,5,7,Satpam,Penjaga Toko,1500000,1350000,Bekasi,Jawa Tengah,Jl. Nelayan No. 012,8800000,2200 VA,62-0000000018,snbp00061@email.com,"-7.1315,-110.3837",-7.115,-110.3837,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBP,
,1549703033640350,BAN-00062,Rizki Putri,Teknik Industri,0000003301000012,0000003371000012,0020050213,SMA Negeri 6 Cilacap,Tersertifikasi,0,4,Tukang,Ibu Rumah Tangga,1600000,1450000,Bogor,Jawa Tengah,Jl. Bersatu No. 013,9600000,450 VA,62-0000000019,snbp00062@email.com,"-7.1315,-110.3822",-7.1135,-110.3822,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,4203649005761644,BAN-00063,Ayu Hariyanto,Arsitektur,0000003301000013,0000003371000013,0020050214,SMA Negeri 1 Purwokerto,Tersertifikasi,1,5,Buruh Bangunan,Penjual Makanan,1700000,1550000,Cirebon,Jawa Tengah,Jl. Kemerdekaan No. 014,10400000,900 VA,62-0000000020,snbp00063@email.com,"-7.1315,-110.3807",-7.112,-110.3807,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,7606462005652334,BAN-00064,Putra Sirait,Akuntansi,0000003301000014,0000003371000014,0020050215,SMA Negeri 2 Klaten,Tersertifikasi,2,6,Karyawan Pabrik,Asisten Rumah Tangga,1800000,1650000,Pekalongan,Jawa Tengah,Jl. Pemuda No. 015,11200000,1300 VA,62-0000000021,snbp00064@email.com,"-7.1315,-110.3792",-7.1105,-110.3792,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBP,
,4587437116954622,BAN-00065,Ahmad Prasetyo,Teknik Informatika,0000003301000015,0000003371000015,0020050216,SMA Negeri 3 Rembang,Tersertifikasi,3,7,Petani Padi,Buruh,1900000,1750000,Semarang,Jawa Tengah,Jl. Kartini No. 016,12000000,2200 VA,62-0000000022,snbp00065@email.com,"-7.1315,-110.3777",-7.109,-110.3777,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBP,
,3642417691303476,BAN-00066,Raka Sirait,Teknik Sipil,0000003301000016,0000003371000016,0020050217,SMA Negeri 1 Tangerang,Tersertifikasi,4,4,Pedagang Pasar,Pembuat Kerajinan,2000000,1850000,Cilacap,Jawa Tengah,Jl. Imam Bonjol No. 017,12800000,450 VA,62-0000000023,snbp00066@email.com,"-7.1315,-110.3762",-7.1075,-110.3762,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,4112169760080024,BAN-00067,Ayu Hadiyah,Teknik Industri,0000003301000017,0000003371000017,0020050218,SMA Negeri 2 Cirebon,Tersertifikasi,5,5,Sopir,Penjaga Toko,2100000,1950000,Purwokerto,Jawa Tengah,Jl. Pendidikan No. 018,13600000,900 VA,62-0000000024,snbp00067@email.com,"-7.1315,-110.3747",-7.106,-110.3747,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,9155764814845582,BAN-00068,Vicky Setiawan,Arsitektur,0000003301000018,0000003371000018,0020050219,SMA Negeri 3 Pekalongan,Tersertifikasi,0,6,Satpam,Ibu Rumah Tangga,2200000,2050000,Klaten,Jawa Tengah,Jl. Tani No. 019,14400000,1300 VA,62-0000000025,snbp00068@email.com,"-7.1315,-110.3732",-7.1045,-110.3732,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBP,
,2318090987158646,BAN-00069,Laras Maulana,Akuntansi,0000003301000019,0000003371000019,0020050220,SMA Negeri 4 Kudus,Tersertifikasi,1,7,Tukang,Penjual Makanan,2300000,2150000,Rembang,Jawa Tengah,Jl. Nelayan No. 020,15200000,2200 VA,62-0000000026,snbp00069@email.com,"-7.1315,-110.3717",-7.103,-110.3717,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBP,
,5085821145878426,BAN-00070,Intan Setiawan,Teknik Informatika,0000003301000020,0000003371000020,0020050221,SMA Negeri 6 Cilacap,Tersertifikasi,2,4,Buruh Bangunan,Asisten Rumah Tangga,2400000,2250000,Tangerang,Jawa Tengah,Jl. Bersatu No. 021,16000000,450 VA,62-0000000027,snbp00070@email.com,"-7.1315,-110.3702",-7.1015,-110.3702,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,6273779024859020,BAN-00071,Doni Prasetyo,Teknik Sipil,0000003301000021,0000003371000021,0020050222,SMA Negeri 1 Purwokerto,Tersertifikasi,3,5,Karyawan Pabrik,Buruh,2500000,2350000,Bekasi,Jawa Tengah,Jl. Kemerdekaan No. 022,16800000,900 VA,62-0000000028,snbp00071@email.com,"-7.1315,-110.3687",-7.1,-110.3687,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,8187958402518437,BAN-00072,Fauzan Maharani,Teknik Industri,0000003301000022,0000003371000022,0020050223,SMA Negeri 2 Klaten,Tersertifikasi,4,6,Petani Padi,Pembuat Kerajinan,2600000,2450000,Bogor,Jawa Tengah,Jl. Pemuda No. 023,17600000,1300 VA,62-0000000029,snbp00072@email.com,"-7.1315,-110.3672",-7.0985,-110.3672,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBP,
,2661523430815364,BAN-00073,Siti Rahman,Arsitektur,0000003301000023,0000003371000023,0020050224,SMA Negeri 3 Rembang,Tersertifikasi,5,7,Pedagang Pasar,Penjaga Toko,2700000,2550000,Cirebon,Jawa Tengah,Jl. Kartini No. 024,18400000,2200 VA,62-0000000030,snbp00073@email.com,"-7.1315,-110.3657",-7.097,-110.3657,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBP,
,7231040371694752,BAN-00074,Okta Prasetyo,Akuntansi,0000003301000024,0000003371000024,0020050225,SMA Negeri 1 Tangerang,Tersertifikasi,0,4,Sopir,Ibu Rumah Tangga,2800000,2650000,Pekalongan,Jawa Tengah,Jl. Imam Bonjol No. 025,19200000,450 VA,62-0000000031,snbp00074@email.com,"-7.1315,-110.3642",-7.0955,-110.3642,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,4326479329358882,BAN-00075,Doni Satria,Teknik Informatika,0000003301000025,0000003371000025,0020050226,SMA Negeri 2 Cirebon,Tersertifikasi,1,5,Satpam,Penjual Makanan,2900000,2750000,Semarang,Jawa Tengah,Jl. Pendidikan No. 026,20000000,900 VA,62-0000000032,snbp00075@email.com,"-7.1315,-110.3627",-7.094,-110.3627,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,7714039093496181,BAN-00076,Budi Wirawan,Teknik Sipil,0000003301000026,0000003371000026,0020050227,SMA Negeri 3 Pekalongan,Tersertifikasi,2,6,Tukang,Asisten Rumah Tangga,3000000,2850000,Cilacap,Jawa Tengah,Jl. Tani No. 027,20800000,1300 VA,62-0000000033,snbp00076@email.com,"-7.1315,-110.3612",-7.0925,-110.3612,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBP,
,8766689743274236,BAN-00077,Maya Rahmawati,Teknik Industri,0000003301000027,0000003371000027,0020050228,SMA Negeri 4 Kudus,Tersertifikasi,3,7,Buruh Bangunan,Buruh,3100000,2950000,Purwokerto,Jawa Tengah,Jl. Nelayan No. 028,21600000,2200 VA,62-0000000034,snbp00077@email.com,"-7.1315,-110.3597",-7.091,-110.3597,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBP,
,9627439782553644,BAN-00078,Mira Hermawan,Arsitektur,0000003301000028,0000003371000028,0020050229,SMA Negeri 6 Cilacap,Tersertifikasi,4,4,Karyawan Pabrik,Pembuat Kerajinan,3200000,3050000,Klaten,Jawa Tengah,Jl. Bersatu No. 029,22400000,450 VA,62-0000000035,snbp00078@email.com,"-7.1315,-110.3582",-7.0895,-110.3582,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,8714526331659477,BAN-00079,Siti Oktaviani,Akuntansi,0000003301000029,0000003371000029,0020050230,SMA Negeri 1 Purwokerto,Tersertifikasi,5,5,Petani Padi,Penjaga Toko,3300000,3150000,Rembang,Jawa Tengah,Jl. Kemerdekaan No. 030,23200000,900 VA,62-0000000036,snbp00079@email.com,"-7.1315,-110.3567",-7.088,-110.3567,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,3730443734983280,BAN-00080,Vicky Soekarno,Teknik Informatika,0000003301000030,0000003371000030,0020050231,SMA Negeri 2 Klaten,Tersertifikasi,0,6,Pedagang Pasar,Ibu Rumah Tangga,3400000,250000,Tangerang,Jawa Tengah,Jl. Pemuda No. 031,24000000,1300 VA,62-0000000037,snbp00080@email.com,"-7.1315,-110.3552",-7.0865,-110.3552,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBP,
,9783014343615394,BAN-00081,Doni Dewi,Teknik Sipil,0000003301000031,0000003371000031,0020050232,SMA Negeri 3 Rembang,Tersertifikasi,1,7,Sopir,Penjual Makanan,3500000,350000,Bekasi,Jawa Tengah,Jl. Kartini No. 032,24800000,2200 VA,62-0000000038,snbp00081@email.com,"-7.1315,-110.3537",-7.085,-110.3537,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBP,
,9392308892182175,BAN-00082,Mega Hasanah,Teknik Industri,0000003301000032,0000003371000032,0020050233,SMA Negeri 1 Tangerang,Tersertifikasi,2,4,Satpam,Asisten Rumah Tangga,3600000,450000,Bogor,Jawa Tengah,Jl. Imam Bonjol No. 033,25600000,450 VA,62-0000000039,snbp00082@email.com,"-7.1315,-110.3522",-7.0835,-110.3522,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,7138514345321604,BAN-00083,Eka Hadiyah,Arsitektur,0000003301000033,0000003371000033,0020050234,SMA Negeri 2 Cirebon,Tersertifikasi,3,5,Tukang,Buruh,3700000,550000,Cirebon,Jawa Tengah,Jl. Pendidikan No. 034,26400000,900 VA,62-0000000040,snbp00083@email.com,"-7.1315,-110.3507",-7.082,-110.3507,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,9942787750345591,BAN-00084,Rizki Wahyuni,Akuntansi,0000003301000034,0000003371000034,0020050235,SMA Negeri 3 Pekalongan,Tersertifikasi,4,6,Buruh Bangunan,Pembuat Kerajinan,3800000,650000,Pekalongan,Jawa Tengah,Jl. Tani No. 035,27200000,1300 VA,62-0000000041,snbp00084@email.com,"-7.1315,-110.3492",-7.0805,-110.3492,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBP,
,1541613202841235,BAN-00085,Yoga Maharani,Teknik Informatika,0000003301000035,0000003371000035,0020050236,SMA Negeri 4 Kudus,Tersertifikasi,5,7,Karyawan Pabrik,Penjaga Toko,3900000,750000,Semarang,Jawa Tengah,Jl. Nelayan No. 036,28000000,2200 VA,62-0000000042,snbp00085@email.com,"-7.1315,-110.3477",-7.079,-110.3477,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBP,
,2607021302897733,BAN-00086,Yunita Handayani,Teknik Sipil,0000003301000036,0000003371000036,0020050237,SMA Negeri 6 Cilacap,Tersertifikasi,0,4,Petani Padi,Ibu Rumah Tangga,4000000,850000,Cilacap,Jawa Tengah,Jl. Bersatu No. 037,28800000,450 VA,62-0000000043,snbp00086@email.com,"-7.1315,-110.3462",-7.0775,-110.3462,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,7311897169857608,BAN-00087,Budi Satria,Teknik Industri,0000003301000037,0000003371000037,0020050238,SMA Negeri 1 Purwokerto,Tersertifikasi,1,5,Pedagang Pasar,Penjual Makanan,4100000,950000,Purwokerto,Jawa Tengah,Jl. Kemerdekaan No. 038,29600000,900 VA,62-0000000044,snbp00087@email.com,"-7.1315,-110.3447",-7.076,-110.3447,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,3247171168664729,BAN-00088,Hendra Handayani,Arsitektur,0000003301000038,0000003371000038,0020050239,SMA Negeri 2 Klaten,Tersertifikasi,2,6,Sopir,Asisten Rumah Tangga,4200000,1050000,Klaten,Jawa Tengah,Jl. Pemuda No. 039,30400000,1300 VA,62-0000000045,snbp00088@email.com,"-7.1315,-110.3432",-7.0745,-110.3432,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBP,
,1339684507813077,BAN-00089,Doni Permatasari,Akuntansi,0000003301000039,0000003371000039,0020050240,SMA Negeri 3 Rembang,Tersertifikasi,3,7,Satpam,Buruh,4300000,1150000,Rembang,Jawa Tengah,Jl. Kartini No. 040,31200000,2200 VA,62-0000000046,snbp00089@email.com,"-7.1315,-110.3417",-7.073,-110.3417,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBP,
,1029890179442268,BAN-00090,Mira Anggraini,Teknik Informatika,0000003301000040,0000003371000040,0020050241,SMA Negeri 1 Tangerang,Tersertifikasi,4,4,Tukang,Pembuat Kerajinan,400000,1250000,Tangerang,Jawa Tengah,Jl. Imam Bonjol No. 041,32000000,450 VA,62-0000000047,snbp00090@email.com,"-7.1315,-110.3402",-7.0715,-110.3402,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,1664689499722930,BAN-00091,Wahyu Maulana,Teknik Sipil,0000003301000041,0000003371000041,0020050242,SMA Negeri 2 Cirebon,Tersertifikasi,5,5,Buruh Bangunan,Penjaga Toko,500000,1350000,Bekasi,Jawa Tengah,Jl. Pendidikan No. 042,32800000,900 VA,62-0000000048,snbp00091@email.com,"-7.1315,-110.3387",-7.07,-110.3387,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,1299640090022313,BAN-00092,Rudi Hadiyah,Teknik Industri,0000003301000042,0000003371000042,0020050243,SMA Negeri 3 Pekalongan,Tersertifikasi,0,6,Karyawan Pabrik,Ibu Rumah Tangga,600000,1450000,Bogor,Jawa Tengah,Jl. Tani No. 043,33600000,1300 VA,62-0000000049,snbp00092@email.com,"-7.1315,-110.3372",-7.0685,-110.3372,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBP,
,2460434607521739,BAN-00093,Joko Wibowo,Arsitektur,0000003301000043,0000003371000043,0020050244,SMA Negeri 4 Kudus,Tersertifikasi,1,7,Petani Padi,Penjual Makanan,700000,1550000,Cirebon,Jawa Tengah,Jl. Nelayan No. 044,34400000,2200 VA,62-0000000050,snbp00093@email.com,"-7.1315,-110.3357",-7.067,-110.3357,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBP,
,5890587599210311,BAN-00094,Agus Wirawan,Akuntansi,0000003301000044,0000003371000044,0020050245,SMA Negeri 6 Cilacap,Tersertifikasi,2,4,Pedagang Pasar,Asisten Rumah Tangga,800000,1650000,Pekalongan,Jawa Tengah,Jl. Bersatu No. 045,35200000,450 VA,62-0000000051,snbp00094@email.com,"-7.1315,-110.3342",-7.0655,-110.3342,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,4438592090029019,BAN-00095,Fitri Wirawan,Teknik Informatika,0000003301000045,0000003371000045,0020050246,SMA Negeri 1 Purwokerto,Tersertifikasi,3,5,Sopir,Buruh,900000,1750000,Semarang,Jawa Tengah,Jl. Kemerdekaan No. 046,36000000,900 VA,62-0000000052,snbp00095@email.com,"-7.1315,-110.3327",-7.064,-110.3327,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,5203137335259908,BAN-00096,Dwi Rahmawati,Teknik Sipil,0000003301000046,0000003371000046,0020050247,SMA Negeri 2 Klaten,Tersertifikasi,4,6,Satpam,Pembuat Kerajinan,1000000,1850000,Cilacap,Jawa Tengah,Jl. Pemuda No. 047,36800000,1300 VA,62-0000000053,snbp00096@email.com,"-7.1315,-110.3312",-7.0625,-110.3312,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBP,
,1318649287858008,BAN-00097,Intan Purnomo,Teknik Industri,0000003301000047,0000003371000047,0020050248,SMA Negeri 3 Rembang,Tersertifikasi,5,7,Tukang,Penjaga Toko,1100000,1950000,Purwokerto,Jawa Tengah,Jl. Kartini No. 048,37600000,2200 VA,62-0000000054,snbp00097@email.com,"-7.1315,-110.3297",-7.061,-110.3297,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBP,
,9534869777952940,BAN-00098,Luthfi Setiawan,Arsitektur,0000003301000048,0000003371000048,0020050249,SMA Negeri 1 Tangerang,Tersertifikasi,0,4,Buruh Bangunan,Ibu Rumah Tangga,1200000,2050000,Klaten,Jawa Tengah,Jl. Imam Bonjol No. 049,38400000,450 VA,62-0000000055,snbp00098@email.com,"-7.1315,-110.3282",-7.0595,-110.3282,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,1994844969319604,BAN-00099,Yoga Hermawan,Akuntansi,0000003301000049,0000003371000049,0020050250,SMA Negeri 2 Cirebon,Tersertifikasi,1,5,Karyawan Pabrik,Penjual Makanan,1300000,2150000,Rembang,Jawa Tengah,Jl. Pendidikan No. 050,39200000,900 VA,62-0000000056,snbp00099@email.com,"-7.1315,-110.3267",-7.058,-110.3267,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,6746642510716530,BAN-00100,Ratna Firmansyah,Teknik Informatika,0000003301000050,0000003371000050,0020050251,SMA Negeri 3 Pekalongan,Tersertifikasi,2,6,Petani Padi,Asisten Rumah Tangga,1400000,2250000,Tangerang,Jawa Tengah,Jl. Tani No. 051,40000000,1300 VA,62-0000000007,snbp00100@email.com,"-7.1315,-110.3252",-7.0565,-110.3252,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBP,
,3252770954981621,BAN-00101,Putri Sirait,Teknik Otomasi,0000003401000001,0000003471000001,0020030302,SMA Swasta Taruna,Tidak Tersertifikasi,1,4,Direktur Perusahaan,Dokter,2500000,2000000,Bandung Kota,Jawa Barat,Jl. Senayan No. 002,5000000,3600 VA,62-0000000010,um00101@email.com,"-6.2756,-106.8252",-6.2736,-106.8252,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,UM,
,5240687918040693,BAN-00102,Taufik Hermawan,Hukum,0000003401000002,0000003471000002,0020030303,SMA Swasta Kristen,Tersertifikasi,2,5,Konsultan Bisnis,Guru,3000000,2500000,Surabaya Pusat,Jawa Timur,Jl. Pondok Indah No. 003,10000000,4400 VA,62-0000000011,um00102@email.com,"-6.2756,-106.8232",-6.2716,-106.8232,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,UM,
,9942421247904239,BAN-00103,Hani Anggraini,Ekonomi Pembangunan,0000003401000003,0000003471000003,0020030304,SMA Swasta Kanisius,Tidak Tersertifikasi,3,3,Manager,Entrepreneur,3500000,3000000,Medan Kota,Sumatera Utara,Jl. Menteng No. 004,15000000,5500 VA,62-0000000012,um00103@email.com,"-6.2756,-106.8212",-6.2696,-106.8212,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,UM,
,5530609821261376,BAN-00104,Taufik Kurniawan,Bisnis,0000003401000004,0000003471000004,0020030305,SMA Swasta Santa Maria,Tersertifikasi,0,4,Dokter,Profesional,4000000,3500000,Semarang Tengah,Jawa Tengah,Jl. Blok M No. 005,20000000,2200 VA,62-0000000013,um00104@email.com,"-6.2756,-106.8192",-6.2676,-106.8192,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,UM,
,9060145957275803,BAN-00105,Nisa Putri,Teknik Komputer,0000003401000005,0000003471000005,0020030306,SMA Swasta Sampoerna,Tidak Tersertifikasi,1,5,Advokat,Manager,4500000,4000000,Yogyakarta Kota,DI Yogyakarta,Jl. Permata No. 006,25000000,3600 VA,62-0000000014,um00105@email.com,"-6.2756,-106.8172",-6.2656,-106.8172,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,UM,
,1612255992631768,BAN-00106,Okta Sirait,Teknik Otomasi,0000003401000006,0000003471000006,0020030307,SMA Swasta Dian Harapan,Tersertifikasi,2,3,Arsitek,Ibu Rumah Tangga,5000000,4500000,Palembang Ilir,Sumatera Selatan,Jl. Elang No. 007,30000000,4400 VA,62-0000000015,um00106@email.com,"-6.2756,-106.8152",-6.2636,-106.8152,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,UM,
,5696858329157056,BAN-00107,Lena Handayani,Hukum,0000003401000007,0000003471000007,0020030308,SMA Swasta Labschool,Tidak Tersertifikasi,3,4,Insinyur,Dokter,5500000,5000000,Makassar Kota,Sulawesi Selatan,Jl. Bintaro No. 008,35000000,5500 VA,62-0000000016,um00107@email.com,"-6.2756,-106.8132",-6.2616,-106.8132,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,UM,
,4129309282565341,BAN-00108,Ahmad Kusuma,Ekonomi Pembangunan,0000003401000008,0000003471000008,0020030309,SMA Swasta Al-Azhar,Tersertifikasi,0,5,Pengusaha Sukses,Guru,6000000,5500000,Denpasar,Bali,Jl. Kelapa Gading No. 009,40000000,2200 VA,62-0000000017,um00108@email.com,"-6.2756,-106.8112",-6.2596,-106.8112,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,UM,
,3650578755587661,BAN-00109,Arif Kusuma,Bisnis,0000003401000009,0000003471000009,0020030310,SMA Swasta Taruna,Tidak Tersertifikasi,1,3,Direktur Perusahaan,Entrepreneur,6500000,6000000,Banjarmasin,Kalimantan Selatan,Jl. Puri No. 010,45000000,3600 VA,62-0000000018,um00109@email.com,"-6.2756,-106.8092",-6.2576,-106.8092,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,UM,
,3191228799075254,BAN-00110,Wahyu Rahman,Teknik Komputer,0000003401000010,0000003471000010,0020030311,SMA Swasta Kristen,Tersertifikasi,2,4,Konsultan Bisnis,Profesional,7000000,6500000,Jakarta Selatan,DKI Jakarta,Jl. Rasuna Said No. 011,50000000,4400 VA,62-0000000019,um00110@email.com,"-6.2756,-106.8072",-6.2556,-106.8072,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,UM,
,2642248511461116,BAN-00111,Hendra Soekarno,Teknik Otomasi,0000003401000011,0000003471000011,0020030312,SMA Swasta Kanisius,Tidak Tersertifikasi,3,5,Manager,Manager,7500000,7000000,Bandung Kota,Jawa Barat,Jl. Senayan No. 012,55000000,5500 VA,62-0000000020,um00111@email.com,"-6.2756,-106.8052",-6.2536,-106.8052,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,UM,
,4323673687894582,BAN-00112,Ayu Lestari,Hukum,0000003401000012,0000003471000012,0020030313,SMA Swasta Santa Maria,Tersertifikasi,0,3,Dokter,Ibu Rumah Tangga,8000000,7500000,Surabaya Pusat,Jawa Timur,Jl. Pondok Indah No. 013,60000000,2200 VA,62-0000000021,um00112@email.com,"-6.2756,-106.8032",-6.2516,-106.8032,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,UM,
,3417830046673582,BAN-00113,Sari Putri,Ekonomi Pembangunan,0000003401000013,0000003471000013,0020030314,SMA Swasta Sampoerna,Tidak Tersertifikasi,1,4,Advokat,Dokter,8500000,8000000,Medan Kota,Sumatera Utara,Jl. Menteng No. 014,65000000,3600 VA,62-0000000022,um00113@email.com,"-6.2756,-106.8012",-6.2496,-106.8012,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,UM,
,9452657172664219,BAN-00114,Bayu Pratama,Bisnis,0000003401000014,0000003471000014,0020030315,SMA Swasta Dian Harapan,Tersertifikasi,2,5,Arsitek,Guru,9000000,8500000,Semarang Tengah,Jawa Tengah,Jl. Blok M No. 015,70000000,4400 VA,62-0000000023,um00114@email.com,"-6.2756,-106.7992",-6.2476,-106.7992,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,UM,
