No;No. Pendaftaran KIP;Nama Siswa2;Prodi;NIK;No. Kartu Keluarga;NIK Kepala Keluarga;NISN;Status DTKS;Validasi DTKS;Status P3KE;Validasi P3KE;No. KIP;Validasi KIP;No. KKS;Asal Sekolah;Kab/Kota Sekolah;Provinsi Sekolah;Tempat Lahir;Tanggal Lahir;Jenis Kelamin;Alamat Tinggal;No. Handphone;Alamat Email;Alamat IG/ Twitter/ Tiktok;Nama Ayah;Pekerjaan Ayah;Ket. Pekerjaan Ayah;Penghasilan Ayah; Ket. Penghasilan Ayah/ bln ;Status Ayah;Nama Ibu;Pekerjaan Ibu;Ket. Pekerjaan Ibu;Penghasilan Ibu; Ket. Penghasilan Ibu/ bln ;Status Ibu;Wali (jika ada); Penghasilan lain/ bln ;Jumlah Tanggungan;Jml Tanggungan Sebenarnya; Nominal per kapita ;Kepemilikan Rumah;Tahun Perolehan;Sumber Listrik;Luas Tanah;Luas Bangunan;Sumber Air;MCK;Kondisi Rumah;Jarak Pusat Kota (KM);Prestasi;Rekomendasi;Alasan;Nama Pewawancara;Alasan Penguat nanti jadi role model undip
95;1125.203.99937.9695.001;Siswa SNBP 95;S1 AGROEKOTEKNOLOGI;3302957274609769;3307896867734215;3305044461515717;0056060793;Belum Terdata;tidak ada;Terdata: Desil 6;tidak ada;-;tidak ada;-;SMAN 4 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081216911770;siswa95@gmail.com;ig: @siswa95;Nama Ayah;Lainnya;Pekerjaan Detail;> Rp. 3.000.000;6295601;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;83559;Hidup;;0;4 Orang;4;1594790;Sendiri;1995;PLN;>200 M2;>200 M2;Sumur;Kepemilikan Sendiri Didalam;Tidak Layak Menerima Beasiswa;50;Eligible 1 Rumpun Saintek;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Budi Santoso;Mampu membayar UKT mandiri.
96;1125.203.99969.3622.001;Siswa SNBP 96;S1 KESEHATAN MASYARAKAT;3308056295013201;3301604717711587;3303976835792912;0032992420;Terdata;ada;Terdata: Desil 1;ada;A1B2C6;ada;KKS003;SMAN 1 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081252489134;siswa96@gmail.com;ig: @siswa96;Nama Ayah;Wirausaha;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;766720;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;470497;Hidup;;0;3 Orang;3;412405;Sewa Bulanan;2008;PLN;>200 M2;100 - 200 M2;Sumur;Berbagi Pakai;Layak Menerima Beasiswa;19;Ketua OSIS SMA 2 Periode;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Andi Pratama;Siswa SNBP berprestasi, tekad kuat.
97;1125.203.99946.8733.001;Siswa SNBP 97;S1 PSIKOLOGI;3301410628969838;3306515804881728;3309750010034543;0046839121;Belum Terdata;tidak ada;Belum Terdata;tidak ada;-;tidak ada;-;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081226243263;siswa97@gmail.com;ig: @siswa97;Nama Ayah;Petani;Pekerjaan Detail;> Rp. 3.000.000;7028836;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;221409;Hidup;;0;3 Orang;3;2416748;Sendiri;2004;PLN;>200 M2;100 - 200 M2;Sungai/Mata Air;Berbagi Pakai;Tidak Layak Menerima Beasiswa;17;Juara 1 OSN Tingkat Provinsi;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Budi Santoso;Mampu membayar UKT mandiri.
98;1125.203.99947.8627.001;Siswa SNBP 98;S1 AKUNTANSI;3308109964637464;3307627936236873;3305857668430936;0055450179;Terdata;ada;Terdata: Desil 2;ada;A1B2C1;ada;KKS005;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081284587145;siswa98@gmail.com;ig: @siswa98;Nama Ayah;Buruh Harian;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1437790;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;402325;Hidup;;0;6 Orang;6;306685;Sewa Tahunan;2009;PLN;< 25 M2;50-99 M2;PDAM;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;24;Eligible 1 Rumpun Saintek;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Siska Nurul;Siswa SNBP berprestasi, tekad kuat.
99;1125.203.99955.7489.001;Siswa SNBP 99;S1 KEDOKTERAN;3301335087548303;3303506157378000;3305892512807677;0095243827;Terdata;ada;Terdata: Desil 4;ada;A1B2C3;ada;KKS005;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081263133683;siswa99@gmail.com;ig: @siswa99;Nama Ayah;Peg. Swasta;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;995059;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;401415;Hidup;;0;2 Orang;2;698237;Menumpang;1990;PLN;< 25 M2;25-50 M2;Sumur;Berbagi Pakai;Layak Menerima Beasiswa;3;Juara 1 OSN Tingkat Provinsi;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Andi Pratama;Siswa SNBP berprestasi, tekad kuat.
100;1125.203.99995.7095.001;Siswa SNBP 100;S1 KEDOKTERAN;3306082583595552;3308373522433473;3307316480063373;0082470122;Terdata;ada;Terdata: Desil 1;ada;A1B2C1;ada;KKS009;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081280676860;siswa100@gmail.com;ig: @siswa100;Nama Ayah;Buruh Harian;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1220675;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;276141;Hidup;;0;4 Orang;4;374204;Menumpang;2008;PLN;>200 M2;25-50 M2;Sumur;Berbagi Pakai;Layak Menerima Beasiswa;28;Juara Umum 1 Paralel Sekolah;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Siska Nurul;Siswa SNBP berprestasi, tekad kuat.
101;1125.203.99966.8353.001;Siswa SNBP 101;S1 ILMU KOMUNIKASI;3303065963059382;3301785854210101;3303286950118700;0029481431;Terdata;ada;Terdata: Desil 2;ada;A1B2C5;ada;KKS003;SMAN 3 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081259249139;siswa101@gmail.com;ig: @siswa101;Nama Ayah;Lainnya;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;876019;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;53431;Hidup;;0;4 Orang;4;232362;Sendiri;2023;PLN;25-50 M2;< 25 M2;Sungai/Mata Air;Kepemilikan Sendiri Diluar;Layak Menerima Beasiswa;20;Juara 1 OSN Tingkat Provinsi;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Andi Pratama;Siswa SNBP berprestasi, tekad kuat.
102;1125.203.99948.5278.001;Siswa SNBP 102;S1 KESEHATAN MASYARAKAT;3308691980886892;3309417394836949;3309028914379855;0027874682;Terdata;ada;Terdata: Desil 3;ada;A1B2C4;ada;KKS004;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081291303631;siswa102@gmail.com;ig: @siswa102;Nama Ayah;Lainnya;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1418777;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;32709;Hidup;;0;2 Orang;2;725743;Sendiri;2017;PLN;100 - 200 M2;>200 M2;Sumur;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;44;Juara 1 Lomba KTI Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Siska Nurul;Siswa SNBP berprestasi, tekad kuat.
103;1125.203.99944.1423.001;Siswa SNBP 103;S1 TEKNIK SIPIL;3306600457175634;3301693323725160;3302935779648811;0032222575;Terdata;ada;Terdata: Desil 2;ada;A1B2C8;ada;KKS005;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081284113171;siswa103@gmail.com;ig: @siswa103;Nama Ayah;Wirausaha;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1401237;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;71717;Hidup;;0;6 Orang;6;245492;Sendiri;2001;PLN;100 - 200 M2;50-99 M2;PDAM;Kepemilikan Sendiri Diluar;Layak Menerima Beasiswa;38;Medali Emas Olimpiade Sains Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Siska Nurul;Siswa SNBP berprestasi, tekad kuat.
104;1125.203.99982.9781.001;Siswa SNBP 104;S1 PSIKOLOGI;3307789736710127;3302082659884307;3309105472578388;0035553786;Terdata;ada;Terdata: Desil 1;ada;A1B2C1;ada;KKS008;SMAN 1 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081253167363;siswa104@gmail.com;ig: @siswa104;Nama Ayah;Wirausaha;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1262649;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;144821;Hidup;;0;4 Orang;4;351867;Sewa Tahunan;2016;PLN;100 - 200 M2;< 25 M2;PDAM;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;16;Juara 1 Lomba KTI Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Siska Nurul;Siswa SNBP berprestasi, tekad kuat.
105;1125.203.99922.1985.001;Siswa SNBP 105;S1 ILMU KOMUNIKASI;3306939817474921;3303442981094215;3308416609935747;0043291240;Terdata;ada;Terdata: Desil 4;ada;A1B2C5;ada;KKS002;SMAN 4 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081284934740;siswa105@gmail.com;ig: @siswa105;Nama Ayah;Lainnya;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1376179;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;230093;Hidup;;0;5 Orang;5;321254;Sewa Bulanan;2013;PLN;25-50 M2;25-50 M2;Sungai/Mata Air;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;45;Juara 1 Lomba KTI Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Budi Santoso;Siswa SNBP berprestasi, tekad kuat.
106;1125.203.99973.8832.001;Siswa SNBP 106;S1 KESEHATAN MASYARAKAT;3301837432090021;3309577475046603;3307024864502683;0048147111;Belum Terdata;tidak ada;Terdata: Desil 5;tidak ada;-;tidak ada;-;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081245176814;siswa106@gmail.com;ig: @siswa106;Nama Ayah;Buruh Harian;Pekerjaan Detail;> Rp. 3.000.000;4347325;Hidup;Nama Ibu;Peg. Swasta;Pekerja;> Rp. 2.000.000;2649979;Hidup;;0;2 Orang;2;3498652;Sendiri;2013;PLN;>200 M2;50-99 M2;Sumur;Berbagi Pakai;Tidak Layak Menerima Beasiswa;19;Eligible 1 Rumpun Saintek;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Andi Pratama;Mampu membayar UKT mandiri.
107;1125.203.99958.3736.001;Siswa SNBP 107;S1 MANAJEMEN;3305064623825232;3304899066443438;3304836444008162;0041935331;Terdata;ada;Terdata: Desil 1;ada;A1B2C8;ada;KKS005;SMAN 4 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081239151922;siswa107@gmail.com;ig: @siswa107;Nama Ayah;Lainnya;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;928916;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;124092;Hidup;;0;3 Orang;3;351002;Sewa Tahunan;2004;PLN;< 25 M2;25-50 M2;PDAM;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;3;Juara 1 OSN Tingkat Provinsi;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Andi Pratama;Siswa SNBP berprestasi, tekad kuat.
108;1125.203.99912.1688.001;Siswa SNBP 108;S1 ILMU KOMUNIKASI;3308585586746745;3307253334409742;3304932785872684;0024950380;Terdata;ada;Terdata: Desil 1;ada;A1B2C2;ada;KKS009;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081282534809;siswa108@gmail.com;ig: @siswa108;Nama Ayah;Petani;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1303769;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;311253;Hidup;;0;3 Orang;3;538340;Sewa Bulanan;1992;PLN;>200 M2;25-50 M2;Sumur;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;27;Ketua OSIS SMA 2 Periode;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Budi Santoso;Siswa SNBP berprestasi, tekad kuat.
109;1125.203.99963.9846.001;Siswa SNBP 109;S1 KEDOKTERAN;3308834449652684;3303157549616252;3306611153351486;0091859353;Terdata;ada;Terdata: Desil 1;ada;A1B2C9;ada;KKS004;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081240436995;siswa109@gmail.com;ig: @siswa109;Nama Ayah;Peg. Swasta;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;752178;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;114463;Hidup;;0;2 Orang;2;433320;Sewa Tahunan;2018;PLN;>200 M2;100 - 200 M2;Sumur;Berbagi Pakai;Layak Menerima Beasiswa;42;Juara 1 FLS2N Tingkat Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Dwi Kurniawan;Siswa SNBP berprestasi, tekad kuat.
110;1125.203.99928.4698.001;Siswa SNBP 110;S1 MANAJEMEN;3303071784034974;3301658148335723;3307057169325823;0075013612;Belum Terdata;tidak ada;Belum Terdata;tidak ada;-;tidak ada;-;SMAN 1 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081262024930;siswa110@gmail.com;ig: @siswa110;Nama Ayah;Buruh Harian;Pekerjaan Detail;> Rp. 3.000.000;6233098;Hidup;Nama Ibu;Wirausaha;Pekerja;> Rp. 2.000.000;1307726;Hidup;;0;6 Orang;6;1256804;Sendiri;2000;PLN;25-50 M2;50-99 M2;Sumur;Kepemilikan Sendiri Diluar;Tidak Layak Menerima Beasiswa;47;Ketua OSIS SMA 2 Periode;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Dwi Kurniawan;Mampu membayar UKT mandiri.
111;1125.203.99988.4047.001;Siswa SNBP 111;S1 TEKNIK SIPIL;3305155150359175;3309482774746469;3304932882671119;0073409387;Terdata;ada;Terdata: Desil 1;ada;A1B2C2;ada;KKS007;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081243346352;siswa111@gmail.com;ig: @siswa111;Nama Ayah;Lainnya;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;903760;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;294047;Hidup;;0;4 Orang;4;299451;Sewa Tahunan;2021;PLN;< 25 M2;25-50 M2;Sumur;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;30;Medali Emas Olimpiade Sains Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Budi Santoso;Siswa SNBP berprestasi, tekad kuat.
112;1125.203.99947.5706.001;Siswa SNBP 112;S1 KESEHATAN MASYARAKAT;3307957743077084;3302401279070658;3305570127063295;0017323340;Belum Terdata;tidak ada;Terdata: Desil 6;tidak ada;-;tidak ada;-;SMAN 4 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081259861136;siswa112@gmail.com;ig: @siswa112;Nama Ayah;Lainnya;Pekerjaan Detail;> Rp. 3.000.000;5274722;Hidup;Nama Ibu;Peg. Swasta;Pekerja;> Rp. 2.000.000;2586439;Hidup;;0;3 Orang;3;2620387;Sendiri;1998;PLN;50-99 M2;100 - 200 M2;Sumur;Berbagi Pakai;Tidak Layak Menerima Beasiswa;24;Medali Emas Olimpiade Sains Nasional;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Budi Santoso;Mampu membayar UKT mandiri.
113;1125.203.99942.7576.001;Siswa SNBP 113;S1 PSIKOLOGI;3307080052689113;3303764802048504;3304484660330726;0094470197;Belum Terdata;tidak ada;Belum Terdata;tidak ada;-;tidak ada;-;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081260986189;siswa113@gmail.com;ig: @siswa113;Nama Ayah;TIDAK BEKERJA;Pekerjaan Detail;> Rp. 3.000.000;3077174;Hidup;Nama Ibu;Peg. Swasta;Pekerja;> Rp. 2.000.000;1669520;Hidup;;0;3 Orang;3;1582231;Sendiri;2009;PLN;>200 M2;>200 M2;PDAM;Kepemilikan Sendiri Didalam;Tidak Layak Menerima Beasiswa;10;Medali Emas Olimpiade Sains Nasional;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Andi Pratama;Mampu membayar UKT mandiri.
114;1125.203.99966.9734.001;Siswa SNBP 114;S1 KESEHATAN MASYARAKAT;3306842654708432;3309748086524855;3307354069083169;0090627888;Terdata;ada;Terdata: Desil 1;ada;A1B2C6;ada;KKS002;SMAN 4 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081298619883;siswa114@gmail.com;ig: @siswa114;Nama Ayah;Lainnya;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1440883;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;207404;Hidup;;0;2 Orang;2;824143;Menumpang;1999;PLN;50-99 M2;25-50 M2;Sumur;Kepemilikan Sendiri Diluar;Layak Menerima Beasiswa;14;Juara 1 Lomba KTI Nasional;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Dwi Kurniawan;Mampu membayar UKT mandiri.
115;1125.203.99994.4281.001;Siswa SNBP 115;S1 KEDOKTERAN;3301306926891821;3307769695480175;3305927249275285;0020905466;Terdata;ada;Terdata: Desil 3;ada;A1B2C7;ada;KKS005;SMAN 4 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081268710866;siswa115@gmail.com;ig: @siswa115;Nama Ayah;Peg. Swasta;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1146889;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;39796;Hidup;;0;4 Orang;4;296671;Sendiri;2008;PLN;< 25 M2;25-50 M2;Sungai/Mata Air;Kepemilikan Sendiri Diluar;Layak Menerima Beasiswa;26;Juara Umum 1 Paralel Sekolah;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Siska Nurul;Siswa SNBP berprestasi, tekad kuat.
116;1125.203.99913.8208.001;Siswa SNBP 116;S1 AKUNTANSI;3304422992610754;3305153379683452;3308005201330859;0010564330;Terdata;ada;Terdata: Desil 4;ada;A1B2C8;ada;KKS006;SMAN 3 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081226805082;siswa116@gmail.com;ig: @siswa116;Nama Ayah;Peg. Swasta;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;954705;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;424595;Hidup;;0;5 Orang;5;275860;Sewa Bulanan;2003;PLN;25-50 M2;< 25 M2;Sumur;Berbagi Pakai;Layak Menerima Beasiswa;43;Juara 1 FLS2N Tingkat Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Rina Amelia;Siswa SNBP berprestasi, tekad kuat.
117;1125.203.99959.2250.001;Siswa SNBP 117;S1 TEKNIK INFORMATIKA;3306697105667851;3309033972814203;3307999407090878;0061367428;Terdata;ada;Terdata: Desil 2;ada;A1B2C6;ada;KKS006;SMAN 1 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081242070748;siswa117@gmail.com;ig: @siswa117;Nama Ayah;TIDAK BEKERJA;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1212549;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;251712;Hidup;;0;2 Orang;2;732130;Sewa Bulanan;2019;PLN;50-99 M2;>200 M2;PDAM;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;48;Juara 1 FLS2N Tingkat Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Budi Santoso;Siswa SNBP berprestasi, tekad kuat.
118;1125.203.99968.9775.001;Siswa SNBP 118;S1 TEKNIK SIPIL;3306170605150658;3303089148098228;3309565386071122;0020354123;Terdata;ada;Terdata: Desil 4;ada;A1B2C1;ada;KKS004;SMAN 4 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081216349979;siswa118@gmail.com;ig: @siswa118;Nama Ayah;Buruh Harian;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;984635;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;477272;Hidup;;0;2 Orang;2;730953;Sewa Tahunan;2016;PLN;100 - 200 M2;25-50 M2;PDAM;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;47;Juara 1 FLS2N Tingkat Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Rina Amelia;Siswa SNBP berprestasi, tekad kuat.
119;1125.203.99952.4254.001;Siswa SNBP 119;S1 TEKNIK INFORMATIKA;3307476520800458;3307516572526502;3308726138855150;0098559535;Belum Terdata;tidak ada;Belum Terdata;tidak ada;-;tidak ada;-;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081287378468;siswa119@gmail.com;ig: @siswa119;Nama Ayah;Buruh Harian;Pekerjaan Detail;> Rp. 3.000.000;3241086;Hidup;Nama Ibu;Wirausaha;Pekerja;> Rp. 2.000.000;1147496;Hidup;;0;5 Orang;5;877716;Sendiri;2022;PLN;100 - 200 M2;< 25 M2;Sumur;Berbagi Pakai;Tidak Layak Menerima Beasiswa;30;Juara 1 FLS2N Tingkat Nasional;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Dwi Kurniawan;Mampu membayar UKT mandiri.
120;1125.203.99994.5369.001;Siswa SNBP 120;S1 KESEHATAN MASYARAKAT;3304600650365194;3309487470955919;3308477539183330;0020267572;Terdata;ada;Terdata: Desil 4;ada;A1B2C4;ada;KKS006;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081266405352;siswa120@gmail.com;ig: @siswa120;Nama Ayah;Buruh Harian;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;923253;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;339887;Hidup;;0;5 Orang;5;252628;Sewa Tahunan;1999;PLN;< 25 M2;25-50 M2;PDAM;Kepemilikan Sendiri Diluar;Layak Menerima Beasiswa;26;Juara 2 Debat Bahasa Indonesia Provinsi;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Rina Amelia;Siswa SNBP berprestasi, tekad kuat.
121;1125.203.99918.3236.001;Siswa SNBP 121;S1 TEKNIK INFORMATIKA;3307008430830762;3306179639595954;3303791543086307;0083197387;Terdata;ada;Terdata: Desil 1;ada;A1B2C2;ada;KKS001;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081297553744;siswa121@gmail.com;ig: @siswa121;Nama Ayah;TIDAK BEKERJA;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1129118;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;246524;Hidup;;0;5 Orang;5;275128;Sewa Tahunan;2002;PLN;100 - 200 M2;>200 M2;PDAM;Berbagi Pakai;Layak Menerima Beasiswa;49;Medali Emas Olimpiade Sains Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Dwi Kurniawan;Siswa SNBP berprestasi, tekad kuat.
122;1125.203.99940.9859.001;Siswa SNBP 122;S1 AGROEKOTEKNOLOGI;3306632024054122;3304219287291288;3308208190460399;0025068290;Terdata;ada;Terdata: Desil 4;ada;A1B2C9;ada;KKS001;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081223382540;siswa122@gmail.com;ig: @siswa122;Nama Ayah;TIDAK BEKERJA;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;514668;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;157592;Hidup;;0;5 Orang;5;134452;Menumpang;2009;PLN;100 - 200 M2;< 25 M2;PDAM;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;26;Juara 1 FLS2N Tingkat Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Andi Pratama;Siswa SNBP berprestasi, tekad kuat.
123;1125.203.99917.4167.001;Siswa SNBP 123;S1 ILMU HUKUM;3309738385442993;3308982004040290;3309844923350146;0089524124;Terdata;ada;Terdata: Desil 3;ada;A1B2C6;ada;KKS007;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081214315793;siswa123@gmail.com;ig: @siswa123;Nama Ayah;TIDAK BEKERJA;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;799699;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;3856;Hidup;;0;2 Orang;2;401777;Sewa Tahunan;2008;PLN;25-50 M2;25-50 M2;PDAM;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;14;Ketua OSIS SMA 2 Periode;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Dwi Kurniawan;Siswa SNBP berprestasi, tekad kuat.
124;1125.203.99926.5248.001;Siswa SNBP 124;S1 AGROEKOTEKNOLOGI;3302998473576015;3301185680863219;3308585314892483;0019537515;Terdata;ada;Terdata: Desil 4;ada;A1B2C5;ada;KKS007;SMAN 3 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081234825929;siswa124@gmail.com;ig: @siswa124;Nama Ayah;Buruh Harian;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1434884;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;219942;Hidup;;0;6 Orang;6;275804;Sewa Tahunan;2007;PLN;25-50 M2;50-99 M2;Sungai/Mata Air;Kepemilikan Sendiri Diluar;Layak Menerima Beasiswa;31;Juara 1 Lomba KTI Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Rina Amelia;Siswa SNBP berprestasi, tekad kuat.
